s (1,1) 9
(71,3) (71,4) 7
(72,3) (72,4) 42
(73,3) (73,4) 6
(74,3) (74,4) 164
(75,3) (75,4) 144
(76,3) (76,4) 15
(77,3) (77,4) 12
(78,3) (78,4) 62
(79,3) (79,4) 96
(80,3) (80,4) 158
(81,3) (81,4) 171
(82,3) (82,4) 75
(83,3) (83,4) 43
(84,3) (84,4) 107
(85,3) (85,4) 163
(86,3) (86,4) 151
(87,3) (87,4) 117
(88,3) (88,4) 155
(89,3) (89,4) 192
(90,3) (90,4) 34
(91,3) (91,4) 132
(92,3) (92,4) 79
(93,3) (93,4) 22
(94,3) (94,4) 15
(95,3) (95,4) 17
(96,3) (96,4) 10
(97,3) (97,4) 55
(98,3) (98,4) 31
(99,3) (99,4) 160
(100,3) (100,4) 112
(101,3) (101,4) 32
(102,3) (102,4) 161
(103,3) (103,4) 39
(104,3) (104,4) 101
(105,3) (105,4) 17
(106,3) (106,4) 105
(107,3) (107,4) 156
(108,3) (108,4) 6
(109,3) (109,4) 107
(110,3) (110,4) 58
(111,3) (111,4) 87
(112,3) (112,4) 64
(113,3) (113,4) 157
(114,3) (114,4) 57
(115,3) (115,4) 30
(116,3) (116,4) 164
(117,3) (117,4) 23
(118,3) (118,4) 144
(119,3) (119,4) 190
(120,3) (120,4) 156
(121,3) (121,4) 7
(122,3) (122,4) 195
(123,3) (123,4) 167
(124,3) (124,4) 5
(125,3) (125,4) 121
(126,3) (126,4) 34
(127,3) (127,4) 41
(128,3) (128,4) 88
(129,3) (129,4) 65
(130,3) (130,4) 196
(131,3) (131,4) 115
(132,3) (132,4) 38
(133,3) (133,4) 28
(134,3) (134,4) 20
(135,3) (135,4) 130
(136,3) (136,4) 200
(137,3) (137,4) 28
(138,3) (138,4) 43
(139,3) (139,4) 30
(140,3) (140,4) 49
(141,3) (141,4) 171
(142,3) (142,4) 122
(143,3) (143,4) 16
(144,3) (144,4) 24
(145,3) (145,4) 143
(146,3) (146,4) 137
(147,3) (147,4) 104
(148,3) (148,4) 53
(149,3) (149,4) 140
(150,3) (150,4) 65
(1,4) (1,5) 20
(2,4) (2,5) 159
(3,4) (3,5) 47
(4,4) (4,5) 3
(5,4) (5,5) 42
(6,4) (6,5) 192
(7,4) (7,5) 30
(8,4) (8,5) 67
(9,4) (9,5) 6
(10,4) (10,5) 111
(11,4) (11,5) 77
(12,4) (12,5) 92
(13,4) (13,5) 103
(14,4) (14,5) 151
(15,4) (15,5) 35
(16,4) (16,5) 145
(17,4) (17,5) 139
(18,4) (18,5) 112
(19,4) (19,5) 19
(20,4) (20,5) 101
(21,4) (21,5) 123
(22,4) (22,5) 130
(23,4) (23,5) 14
(24,4) (24,5) 128
(25,4) (25,5) 90
(26,4) (26,5) 178
(27,4) (27,5) 22
(28,4) (28,5) 55
(29,4) (29,5) 127
(30,4) (30,5) 51
(31,4) (31,5) 102
(32,4) (32,5) 63
(33,4) (33,5) 185
(34,4) (34,5) 130
(35,4) (35,5) 109
(36,4) (36,5) 13
(37,4) (37,5) 58
(38,4) (38,5) 29
(39,4) (39,5) 73
(40,4) (40,5) 37
(41,4) (41,5) 68
(42,4) (42,5) 192
(43,4) (43,5) 127
(44,4) (44,5) 141
(45,4) (45,5) 16
(46,4) (46,5) 6
(47,4) (47,5) 1
(48,4) (48,5) 12
(49,4) (49,5) 150
(50,4) (50,5) 97
(51,4) (51,5) 121
(52,4) (52,5) 173
(53,4) (53,5) 71
(54,4) (54,5) 63
(55,4) (55,5) 18
(56,4) (56,5) 146
(57,4) (57,5) 86
(58,4) (58,5) 89
(59,4) (59,5) 94
(60,4) (60,5) 135
(61,4) (61,5) 197
(62,4) (62,5) 144
(63,4) (63,5) 137
(64,4) (64,5) 101
(65,4) (65,5) 171
(66,4) (66,5) 166
(67,4) (67,5) 28
(68,4) (68,5) 31
(69,4) (69,5) 67
(70,4) (70,5) 95
(71,4) (71,5) 198
(72,4) (72,5) 140
(73,4) (73,5) 88
(74,4) (74,5) 50
(75,4) (75,5) 61
(76,4) (76,5) 9
(77,4) (77,5) 164
(78,4) (78,5) 87
(79,4) (79,5) 106
(80,4) (80,5) 170
(81,4) (81,5) 136
(82,4) (82,5) 23
(83,4) (83,5) 98
(84,4) (84,5) 53
(85,4) (85,5) 30
(86,4) (86,5) 139
(87,4) (87,5) 65
(88,4) (88,5) 12
(89,4) (89,5) 82
(90,4) (90,5) 66
(91,4) (91,5) 58
(92,4) (92,5) 29
(93,4) (93,5) 127
(94,4) (94,5) 98
(95,4) (95,5) 97
(96,4) (96,5) 135
(97,4) (97,5) 45
(98,4) (98,5) 42
(99,4) (99,5) 185
(100,4) (100,5) 35
(101,4) (101,5) 32
(102,4) (102,5) 25
(103,4) (103,5) 41
(104,4) (104,5) 77
(105,4) (105,5) 149
(106,4) (106,5) 15
(107,4) (107,5) 153
(108,4) (108,5) 85
(109,4) (109,5) 125
(110,4) (110,5) 55
(111,4) (111,5) 98
(112,4) (112,5) 55
(113,4) (113,5) 132
(114,4) (114,5) 117
(115,4) (115,5) 83
(116,4) (116,5) 35
(117,4) (117,5) 155
(118,4) (118,5) 34
(119,4) (119,5) 17
(120,4) (120,5) 193
(121,4) (121,5) 105
(122,4) (122,5) 56
(123,4) (123,5) 46
(124,4) (124,5) 189
(125,4) (125,5) 56
(126,4) (126,5) 148
(127,4) (127,5) 26
(128,4) (128,5) 82
(129,4) (129,5) 12
(130,4) (130,5) 56
(131,4) (131,5) 151
(132,4) (132,5) 63
(133,4) (133,5) 47
(134,4) (134,5) 34
(135,4) (135,5) 30
(136,4) (136,5) 147
(137,4) (137,5) 63
(138,4) (138,5) 156
(139,4) (139,5) 159
(140,4) (140,5) 126
(141,4) (141,5) 185
(142,4) (142,5) 112
(143,4) (143,5) 141
(144,4) (144,5) 125
(145,4) (145,5) 110
(146,4) (146,5) 200
(147,4) (147,5) 48
(148,4) (148,5) 1
(149,4) (149,5) 75
(150,4) (150,5) 24
(1,5) (1,6) 132
(2,5) (2,6) 93
(3,5) (3,6) 23
(4,5) (4,6) 65
(5,5) (5,6) 79
(6,5) (6,6) 186
(7,5) (7,6) 102
(8,5) (8,6) 90
(9,5) (9,6) 24
(10,5) (10,6) 34
(11,5) (11,6) 27
(12,5) (12,6) 28
(13,5) (13,6) 115
(14,5) (14,6) 53
(15,5) (15,6) 34
(16,5) (16,6) 3
(17,5) (17,6) 177
(18,5) (18,6) 42
(19,5) (19,6) 34
(20,5) (20,6) 156
(21,5) (21,6) 76
(22,5) (22,6) 22
(23,5) (23,6) 97
(24,5) (24,6) 96
(25,5) (25,6) 40
(26,5) (26,6) 162
(27,5) (27,6) 58
(28,5) (28,6) 116
(29,5) (29,6) 172
(30,5) (30,6) 68
(31,5) (31,6) 170
(32,5) (32,6) 41
(33,5) (33,6) 104
(34,5) (34,6) 61
(35,5) (35,6) 73
(36,5) (36,6) 134
(37,5) (37,6) 65
(38,5) (38,6) 50
(39,5) (39,6) 51
(40,5) (40,6) 192
(41,5) (41,6) 64
(42,5) (42,6) 73
(43,5) (43,6) 190
(44,5) (44,6) 156
(45,5) (45,6) 200
(46,5) (46,6) 106
(47,5) (47,6) 54
(48,5) (48,6) 33
(49,5) (49,6) 14
(50,5) (50,6) 191
(51,5) (51,6) 75
(52,5) (52,6) 141
(53,5) (53,6) 131
(54,5) (54,6) 186
(55,5) (55,6) 172
(56,5) (56,6) 186
(57,5) (57,6) 29
(58,5) (58,6) 18
(59,5) (59,6) 13
(60,5) (60,6) 140
(61,5) (61,6) 188
(62,5) (62,6) 89
(63,5) (63,6) 156
(64,5) (64,6) 193
(65,5) (65,6) 40
(66,5) (66,6) 28
(67,5) (67,6) 58
(68,5) (68,6) 46
(69,5) (69,6) 95
(70,5) (70,6) 40
(71,5) (71,6) 84
(72,5) (72,6) 107
(73,5) (73,6) 180
(74,5) (74,6) 85
(75,5) (75,6) 129
(76,5) (76,6) 194
(77,5) (77,6) 19
(78,5) (78,6) 162
(79,5) (79,6) 134
(80,5) (80,6) 25
(81,5) (81,6) 113
(82,5) (82,6) 70
(83,5) (83,6) 85
(84,5) (84,6) 120
(85,5) (85,6) 17
(86,5) (86,6) 158
(87,5) (87,6) 85
(88,5) (88,6) 145
(89,5) (89,6) 145
(90,5) (90,6) 175
(91,5) (91,6) 42
(92,5) (92,6) 189
(93,5) (93,6) 179
(94,5) (94,6) 130
(95,5) (95,6) 37
(96,5) (96,6) 29
(97,5) (97,6) 135
(98,5) (98,6) 87
(99,5) (99,6) 54
(100,5) (100,6) 187
(101,5) (101,6) 174
(102,5) (102,6) 47
(103,5) (103,6) 189
(104,5) (104,6) 85
(105,5) (105,6) 9
(106,5) (106,6) 114
(107,5) (107,6) 81
(108,5) (108,6) 18
(109,5) (109,6) 152
(110,5) (110,6) 33
(111,5) (111,6) 24
(112,5) (112,6) 93
(113,5) (113,6) 46
(114,5) (114,6) 2
(115,5) (115,6) 133
(116,5) (116,6) 36
(117,5) (117,6) 178
(118,5) (118,6) 30
(119,5) (119,6) 111
(120,5) (120,6) 172
(121,5) (121,6) 152
(122,5) (122,6) 184
(123,5) (123,6) 29
(124,5) (124,6) 138
(125,5) (125,6) 22
(126,5) (126,6) 92
(127,5) (127,6) 40
(128,5) (128,6) 56
(129,5) (129,6) 67
(130,5) (130,6) 73
(131,5) (131,6) 25
(132,5) (132,6) 90
(133,5) (133,6) 113
(134,5) (134,6) 196
(135,5) (135,6) 18
(136,5) (136,6) 116
(137,5) (137,6) 131
(138,5) (138,6) 27
(139,5) (139,6) 105
(140,5) (140,6) 154
(141,5) (141,6) 82
(142,5) (142,6) 155
(143,5) (143,6) 158
(144,5) (144,6) 187
(145,5) (145,6) 138
(146,5) (146,6) 119
(147,5) (147,6) 29
(148,5) (148,6) 195
(149,5) (149,6) 121
(150,5) (150,6) 93
(1,6) (1,7) 47
(2,6) (2,7) 68
(3,6) (3,7) 7
(4,6) (4,7) 78
(5,6) (5,7) 35
(6,6) (6,7) 112
(7,6) (7,7) 192
(8,6) (8,7) 186
(9,6) (9,7) 146
(10,6) (10,7) 166
(11,6) (11,7) 175
(12,6) (12,7) 126
(13,6) (13,7) 48
(14,6) (14,7) 86
(15,6) (15,7) 69
(16,6) (16,7) 156
(17,6) (17,7) 126
(18,6) (18,7) 58
(19,6) (19,7) 183
(20,6) (20,7) 164
(21,6) (21,7) 53
(22,6) (22,7) 188
(23,6) (23,7) 197
(24,6) (24,7) 4
(25,6) (25,7) 53
(26,6) (26,7) 190
(27,6) (27,7) 55
(28,6) (28,7) 185
(29,6) (29,7) 35
(30,6) (30,7) 194
(31,6) (31,7) 42
(32,6) (32,7) 49
(33,6) (33,7) 33
(34,6) (34,7) 94
(35,6) (35,7) 120
(36,6) (36,7) 191
(37,6) (37,7) 111
(38,6) (38,7) 91
(39,6) (39,7) 190
(40,6) (40,7) 50
(41,6) (41,7) 71
(42,6) (42,7) 59
(43,6) (43,7) 102
(44,6) (44,7) 99
(45,6) (45,7) 46
(46,6) (46,7) 28
(47,6) (47,7) 13
(48,6) (48,7) 193
(49,6) (49,7) 143
(50,6) (50,7) 197
(51,6) (51,7) 63
(52,6) (52,7) 146
(53,6) (53,7) 153
(54,6) (54,7) 44
(55,6) (55,7) 190
(56,6) (56,7) 72
(57,6) (57,7) 49
(58,6) (58,7) 58
(59,6) (59,7) 82
(60,6) (60,7) 109
(61,6) (61,7) 50
(62,6) (62,7) 12
(63,6) (63,7) 66
(64,6) (64,7) 101
(65,6) (65,7) 128
(66,6) (66,7) 39
(67,6) (67,7) 16
(68,6) (68,7) 199
(69,6) (69,7) 29
(70,6) (70,7) 46
(71,6) (71,7) 59
(72,6) (72,7) 191
(73,6) (73,7) 115
(74,6) (74,7) 171
(75,6) (75,7) 78
(76,6) (76,7) 107
(77,6) (77,7) 31
(78,6) (78,7) 184
(79,6) (79,7) 54
(80,6) (80,7) 112
(81,6) (81,7) 151
(82,6) (82,7) 97
(83,6) (83,7) 65
(84,6) (84,7) 168
(85,6) (85,7) 114
(86,6) (86,7) 96
(87,6) (87,7) 193
(88,6) (88,7) 58
(89,6) (89,7) 101
(90,6) (90,7) 3
(91,6) (91,7) 199
(92,6) (92,7) 167
(93,6) (93,7) 103
(94,6) (94,7) 94
(95,6) (95,7) 165
(96,6) (96,7) 52
(97,6) (97,7) 146
(98,6) (98,7) 1
(99,6) (99,7) 44
(100,6) (100,7) 33
(101,6) (101,7) 105
(102,6) (102,7) 191
(103,6) (103,7) 44
(104,6) (104,7) 180
(105,6) (105,7) 17
(106,6) (106,7) 58
(107,6) (107,7) 122
(108,6) (108,7) 171
(109,6) (109,7) 160
(110,6) (110,7) 141
(111,6) (111,7) 187
(112,6) (112,7) 69
(113,6) (113,7) 122
(114,6) (114,7) 64
(115,6) (115,7) 191
(116,6) (116,7) 163
(117,6) (117,7) 99
(118,6) (118,7) 194
(119,6) (119,7) 185
(120,6) (120,7) 72
(121,6) (121,7) 119
(122,6) (122,7) 70
(123,6) (123,7) 179
(124,6) (124,7) 178
(125,6) (125,7) 84
(126,6) (126,7) 156
(127,6) (127,7) 174
(128,6) (128,7) 180
(129,6) (129,7) 105
(130,6) (130,7) 106
(131,6) (131,7) 158
(132,6) (132,7) 17
(133,6) (133,7) 184
(134,6) (134,7) 39
(135,6) (135,7) 68
(136,6) (136,7) 63
(137,6) (137,7) 102
(138,6) (138,7) 117
(139,6) (139,7) 166
(140,6) (140,7) 150
(141,6) (141,7) 92
(142,6) (142,7) 145
(143,6) (143,7) 25
(144,6) (144,7) 123
(145,6) (145,7) 126
(146,6) (146,7) 127
(147,6) (147,7) 111
(148,6) (148,7) 30
(149,6) (149,7) 152
(150,6) (150,7) 14
(1,7) (1,8) 115
(2,7) (2,8) 100
(3,7) (3,8) 17
(4,7) (4,8) 94
(5,7) (5,8) 184
(6,7) (6,8) 146
(7,7) (7,8) 183
(8,7) (8,8) 121
(9,7) (9,8) 153
(10,7) (10,8) 191
(11,7) (11,8) 34
(12,7) (12,8) 37
(13,7) (13,8) 36
(14,7) (14,8) 148
(15,7) (15,8) 165
(16,7) (16,8) 13
(17,7) (17,8) 32
(18,7) (18,8) 66
(19,7) (19,8) 54
(20,7) (20,8) 86
(21,7) (21,8) 174
(22,7) (22,8) 160
(23,7) (23,8) 71
(24,7) (24,8) 29
(25,7) (25,8) 44
(26,7) (26,8) 168
(27,7) (27,8) 45
(28,7) (28,8) 19
(29,7) (29,8) 35
(30,7) (30,8) 197
(31,7) (31,8) 110
(32,7) (32,8) 154
(33,7) (33,8) 122
(34,7) (34,8) 100
(35,7) (35,8) 24
(36,7) (36,8) 46
(37,7) (37,8) 115
(38,7) (38,8) 131
(39,7) (39,8) 68
(40,7) (40,8) 107
(41,7) (41,8) 188
(42,7) (42,8) 114
(43,7) (43,8) 25
(44,7) (44,8) 86
(45,7) (45,8) 152
(46,7) (46,8) 141
(47,7) (47,8) 196
(48,7) (48,8) 51
(49,7) (49,8) 140
(50,7) (50,8) 35
(51,7) (51,8) 181
(52,7) (52,8) 67
(53,7) (53,8) 166
(54,7) (54,8) 150
(55,7) (55,8) 197
(56,7) (56,8) 192
(57,7) (57,8) 182
(58,7) (58,8) 143
(59,7) (59,8) 196
(60,7) (60,8) 119
(61,7) (61,8) 193
(62,7) (62,8) 197
(63,7) (63,8) 152
(64,7) (64,8) 15
(65,7) (65,8) 130
(66,7) (66,8) 122
(67,7) (67,8) 55
(68,7) (68,8) 44
(69,7) (69,8) 121
(70,7) (70,8) 106
(71,7) (71,8) 13
(72,7) (72,8) 147
